Anlageschl;Einsatz-ID;Projektnummer;DSO Schlüssel 2;Netzbetreiber (ILN-Nummer);Datum Regelung ab;Uhrzeit Regelung ab;Datum Regelung bis;Uhrzeit Regelung bis;Regelstufe Einspeisermanagemen;Entschädigungspflichtig;Ursache;Ort;Anforderer (ILN-Nummer)
E20793014000000000000002347000001;SHN201500000110;2291;;Schleswig-Holstein Netz;03.04.2014;13:37:08;03.04.2014;13:43:40;060;EEG;Netzengpass;Toftum.60/20.Trafo 061;Schleswig-Holstein Netz
E20793014000000000000002347000009;SHN201500000110;2291;;Schleswig-Holstein Netz;03.04.2014;13:37:08;03.04.2014;13:43:40;060;EEG;Netzengpass;Toftum.60/20.Trafo 061;Schleswig-Holstein Netz
E20793014000000000000002347000010;SHN201500000110;2291;;Schleswig-Holstein Netz;03.04.2014;13:37:08;03.04.2014;13:43:40;060;EEG;Netzengpass;Toftum.60/20.Trafo 061;Schleswig-Holstein Netz
E20793019000000000000002359000001;SHN201500000110;8389;;Schleswig-Holstein Netz;03.04.2014;13:37:08;03.04.2014;13:43:40;060;EEG;Netzengpass;Toftum.60/20.Trafo 061;Schleswig-Holstein Netz
E20793019X00000000000002359000001;SHN201500000110;8389;;Schleswig-Holstein Netz;03.04.2014;13:37:08;03.04.2014;13:43:40;060;EEG;Netzengpass;Toftum.60/20.Trafo 061;Schleswig-Holstein Netz
E20793019Y00000000000002359000001;SHN201500000110;8389;;Schleswig-Holstein Netz;03.04.2014;13:37:08;03.04.2014;13:43:40;060;EEG;Netzengpass;Toftum.60/20.Trafo 061;Schleswig-Holstein Netz
E20793014000000000000002347000001;SHN201500000110;2291;;Schleswig-Holstein Netz;03.04.2014;13:43:40;03.04.2014;13:50:40;030;EEG;Netzengpass;Toftum.60/20.Trafo 061;Schleswig-Holstein Netz
E20793014000000000000002347000009;SHN201500000110;2291;;Schleswig-Holstein Netz;03.04.2014;13:43:40;03.04.2014;13:50:40;030;EEG;Netzengpass;Toftum.60/20.Trafo 061;Schleswig-Holstein Netz
E20793014000000000000002347000010;SHN201500000110;2291;;Schleswig-Holstein Netz;03.04.2014;13:43:40;03.04.2014;13:50:40;030;EEG;Netzengpass;Toftum.60/20.Trafo 061;Schleswig-Holstein Netz
E20793019000000000000002359000001;SHN201500000110;8389;;Schleswig-Holstein Netz;03.04.2014;13:43:40;03.04.2014;13:50:40;030;EEG;Netzengpass;Toftum.60/20.Trafo 061;Schleswig-Holstein Netz
E20793019X00000000000002359000001;SHN201500000110;8389;;Schleswig-Holstein Netz;03.04.2014;13:43:40;03.04.2014;13:50:40;030;EEG;Netzengpass;Toftum.60/20.Trafo 061;Schleswig-Holstein Netz
E20793019Y00000000000002359000001;SHN201500000110;8389;;Schleswig-Holstein Netz;03.04.2014;13:43:40;03.04.2014;13:50:40;030;EEG;Netzengpass;Toftum.60/20.Trafo 061;Schleswig-Holstein Netz
E2325401HRA0000000SIEVE0000100015;SHN201411003515;27999;;Schleswig-Holstein Netz;03.04.2014;13:50:00;03.04.2014;16:58:00;000;EEG;Netzengpass;SIEVERSTED EIP:T101;Schleswig-Holstein Netz
E2325401HRA0000000SIEVE0000100008;SHN201411003515;27999;;Schleswig-Holstein Netz;03.04.2014;13:50:00;03.04.2014;16:58:00;000;EEG;Netzengpass;SIEVERSTED EIP:T101;Schleswig-Holstein Netz
E2325401HRA0000000SIEVE0000100006;SHN201411003515;27999;;Schleswig-Holstein Netz;03.04.2014;13:50:00;03.04.2014;16:58:00;000;EEG;Netzengpass;SIEVERSTED EIP:T101;Schleswig-Holstein Netz
E2325401HRA0000000SIEVE0000100003;SHN201411003515;27999;;Schleswig-Holstein Netz;03.04.2014;13:50:00;03.04.2014;16:58:00;000;EEG;Netzengpass;SIEVERSTED EIP:T101;Schleswig-Holstein Netz
E2325401HRA0000000SIEVE0000100014;SHN201411003515;27999;;Schleswig-Holstein Netz;03.04.2014;13:50:00;03.04.2014;16:58:00;000;EEG;Netzengpass;SIEVERSTED EIP:T101;Schleswig-Holstein Netz
E2325401HRA0000000SIEVE0000100009;SHN201411003515;27999;;Schleswig-Holstein Netz;03.04.2014;13:50:00;03.04.2014;16:58:00;000;EEG;Netzengpass;SIEVERSTED EIP:T101;Schleswig-Holstein Netz
E2325401HRA0000000SIEVE0000100018;SHN201411003515;27999;;Schleswig-Holstein Netz;03.04.2014;13:50:00;03.04.2014;16:58:00;000;EEG;Netzengpass;SIEVERSTED EIP:T101;Schleswig-Holstein Netz
