Anlageschl;Einsatz-ID;Projektnummer;DSO Schlüssel 2;Netzbetreiber (ILN-Nummer);Datum Regelung ab;Uhrzeit Regelung ab;Datum Regelung bis;Uhrzeit Regelung bis;Regelstufe Einspeisermanagemen;Entschädigungspflichtig;Ursache;Ort;Anforderer (ILN-Nummer)
E20793014000000000000002347000001;SHN201500000036;2291;;Schleswig-Holstein Netz;02.02.2014;12:21:00;02.02.2014;12:58:30;060;EEG;Netzengpass;Toftum.60/20.Trafo;Schleswig-Holstein Netz
E20793014000000000000002347000010;SHN201500000036;2291;;Schleswig-Holstein Netz;02.02.2014;12:21:00;02.02.2014;12:58:30;060;EEG;Netzengpass;Toftum.60/20.Trafo;Schleswig-Holstein Netz
E20793019000000000000002359000001;SHN201500000036;8389;;Schleswig-Holstein Netz;02.02.2014;12:21:00;02.02.2014;12:58:30;060;EEG;Netzengpass;Toftum.60/20.Trafo;Schleswig-Holstein Netz
E20793019Y00000000000002359000001;SHN201500000036;8389;;Schleswig-Holstein Netz;02.02.2014;12:21:00;02.02.2014;12:58:30;060;EEG;Netzengpass;Toftum.60/20.Trafo;Schleswig-Holstein Netz
E20793014000000000000002347000009;SHN201500000036;2291;;Schleswig-Holstein Netz;02.02.2014;12:21:00;02.02.2014;12:58:30;060;EEG;Netzengpass;Toftum.60/20.Trafo;Schleswig-Holstein Netz
E20793019X00000000000002359000001;SHN201500000036;8389;;Schleswig-Holstein Netz;02.02.2014;12:21:00;02.02.2014;12:58:30;060;EEG;Netzengpass;Toftum.60/20.Trafo;Schleswig-Holstein Netz
E20793014000000000000021496320001;SHNNETZ0204;8052015;;Schleswig-Holstein Netz;04.02.2014;07:30:00;04.02.2014;18:00:00;060;EEG;Netzengpass;Ort Engpass;Schleswig-Holstein Netz
E20793014000000000000021496320002;SHNNETZ0204;8052015;;Schleswig-Holstein Netz;04.02.2014;07:30:00;04.02.2014;18:00:00;060;EEG;Netzengpass;Ort Engpass;Schleswig-Holstein Netz
E20793014000000000000021496320003;SHNNETZ0204;8052015;;Schleswig-Holstein Netz;04.02.2014;07:30:00;04.02.2014;18:00:00;060;EEG;Netzengpass;Ort Engpass;Schleswig-Holstein Netz
E2079301S120000000000019035600001;SHN201411002824;43476;;Schleswig-Holstein Netz;06.02.2014;05:33:00;06.02.2014;14:44:00;000;EEG;Netzengpass;TARP T122;TenneT
E20793014000000000000002226000001;SHN201411001776;2006;;Schleswig-Holstein Netz;06.02.2014;05:33:00;06.02.2014;14:44:00;000;EEG;Netzengpass;LINDEWITT T121;TenneT
E2026001HRA00FLENSBURGE0000100002;SHN201411000610;41081;;Schleswig-Holstein Netz;06.02.2014;05:33:00;06.02.2014;14:44:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2026001HRA00FLENSBURGE0000100009;SHN201411000610;41081;;Schleswig-Holstein Netz;06.02.2014;05:33:00;06.02.2014;14:44:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2026001HRA00FLENSBURGE0000100006;SHN201411000610;41081;;Schleswig-Holstein Netz;06.02.2014;05:33:00;06.02.2014;14:44:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2026001HRA00FLENSBURGE0000100011;SHN201411000610;41081;;Schleswig-Holstein Netz;06.02.2014;05:33:00;06.02.2014;14:44:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2026001HRA00FLENSBURGE0000100005;SHN201411000610;41081;;Schleswig-Holstein Netz;06.02.2014;05:33:00;06.02.2014;14:44:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2026001HRA00FLENSBURGE0000100010;SHN201411000610;41081;;Schleswig-Holstein Netz;06.02.2014;05:33:00;06.02.2014;14:44:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2026001HRA00FLENSBURGE0000100012;SHN201411000610;41081;;Schleswig-Holstein Netz;06.02.2014;05:33:00;06.02.2014;14:44:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2026001HRA00FLENSBURGE0000100008;SHN201411000610;41081;;Schleswig-Holstein Netz;06.02.2014;05:33:00;06.02.2014;14:44:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2026001HRA00FLENSBURGE0000100007;SHN201411000610;41081;;Schleswig-Holstein Netz;06.02.2014;05:33:00;06.02.2014;14:44:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2026001HRA00FLENSBURGE0000100001;SHN201411000610;41081;;Schleswig-Holstein Netz;06.02.2014;05:33:00;06.02.2014;14:44:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2026001HRA00FLENSBURGE0000100003;SHN201411000610;41081;;Schleswig-Holstein Netz;06.02.2014;05:33:00;06.02.2014;14:44:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2026001HRA00FLENSBURGE0000100004;SHN201411000610;41081;;Schleswig-Holstein Netz;06.02.2014;05:33:00;06.02.2014;14:44:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2079301SZP0000000000043372400001;SHN201411000408;41569;;Schleswig-Holstein Netz;06.02.2014;05:33:00;06.02.2014;14:44:00;000;EEG;Netzengpass;ELLENBERG T122;TenneT
E20793012000000000000017728490001;SHN201411000476;43791;;Schleswig-Holstein Netz;06.02.2014;05:33:00;06.02.2014;14:44:00;000;EEG;Netzengpass;TARP T121;TenneT
E20793010000000000000017774980001;SHN201411000220;6332;;Schleswig-Holstein Netz;06.02.2014;05:33:00;06.02.2014;14:44:00;000;EEG;Netzengpass;LINDEWITT T121;TenneT
E20793010000000000000017774980002;SHN201411000220;6332;;Schleswig-Holstein Netz;06.02.2014;05:33:00;06.02.2014;14:44:00;000;EEG;Netzengpass;LINDEWITT T121;TenneT
E20793010000000000000017774980003;SHN201411000220;6332;;Schleswig-Holstein Netz;06.02.2014;05:33:00;06.02.2014;14:44:00;000;EEG;Netzengpass;LINDEWITT T121;TenneT
E2079301EA01000000KLXBE0000100011;SHN201411004249;41162;;Schleswig-Holstein Netz;06.02.2014;05:33:00;06.02.2014;14:44:00;000;EEG;Netzengpass;KLIXBöœLL T101;TenneT
E2079301EA01000000KLXBE0000100003;SHN201411004249;48094;;Schleswig-Holstein Netz;06.02.2014;05:33:00;06.02.2014;14:44:00;000;EEG;Netzengpass;KLIXBöœLL T101;TenneT
E2079301EA01000000KLXBE0000100001;SHN201411004249;48094;;Schleswig-Holstein Netz;06.02.2014;05:33:00;06.02.2014;14:44:00;000;EEG;Netzengpass;KLIXBöœLL T101;TenneT
E2079301EA01000000KLXBE0000100015;SHN201411004249;41162;;Schleswig-Holstein Netz;06.02.2014;05:33:00;06.02.2014;14:44:00;000;EEG;Netzengpass;KLIXBöœLL T101;TenneT
E2079301EA01000000KLXBE0000100004;SHN201411004249;48094;;Schleswig-Holstein Netz;06.02.2014;05:33:00;06.02.2014;14:44:00;000;EEG;Netzengpass;KLIXBöœLL T101;TenneT
