Anlageschl;Einsatz-ID;Projektnummer;DSO Schlüssel 2;Netzbetreiber (ILN-Nummer);Datum Regelung ab;Uhrzeit Regelung ab;Datum Regelung bis;Uhrzeit Regelung bis;Regelstufe Einspeisermanagemen;Entschädigungspflichtig;Ursache;Ort;Anforderer (ILN-Nummer)
E2079301S120000000000030587700001;SHN201411001418;38272;;Schleswig-Holstein Netz;02.01.2014;18:34:00;02.01.2014;18:50:00;030;EEG;Netzengpass;DINGEN T122;Schleswig-Holstein Netz
E2079301S120A00000000030587700002;SHN201411001418;38272;;Schleswig-Holstein Netz;02.01.2014;18:34:00;02.01.2014;18:50:00;030;EEG;Netzengpass;DINGEN T122;Schleswig-Holstein Netz
E2079301S120D00000000030587700004;SHN201411001418;38272;;Schleswig-Holstein Netz;02.01.2014;18:34:00;02.01.2014;18:50:00;030;EEG;Netzengpass;DINGEN T122;Schleswig-Holstein Netz
E2079301S120B00000000030587700003;SHN201411001418;38272;;Schleswig-Holstein Netz;02.01.2014;18:34:00;02.01.2014;18:50:00;030;EEG;Netzengpass;DINGEN T122;Schleswig-Holstein Netz
E20793014000000000000021532150001;SHN201400000001;24329;;Schleswig-Holstein Netz;02.01.2014;18:34:00;02.01.2014;20:04:00;000;EEG;110-kV-Ostermoor/W-Ostermoor/O-ROT;OSTERMOOR/W T122;Schleswig-Holstein Netz
E20793012000000000000000893000001;SHN201400000001;3526;;Schleswig-Holstein Netz;02.01.2014;18:34:00;02.01.2014;20:04:00;000;EEG;110-kV-Ostermoor/W-Ostermoor/O-ROT;OSTERMOOR/W T122;Schleswig-Holstein Netz
E20793012000000000000000893000002;SHN201400000001;3526;;Schleswig-Holstein Netz;02.01.2014;18:34:00;02.01.2014;20:04:00;000;EEG;110-kV-Ostermoor/W-Ostermoor/O-ROT;OSTERMOOR/W T122;Schleswig-Holstein Netz
E20793012000000000000000893000003;SHN201400000001;3526;;Schleswig-Holstein Netz;02.01.2014;18:34:00;02.01.2014;20:04:00;000;EEG;110-kV-Ostermoor/W-Ostermoor/O-ROT;OSTERMOOR/W T122;Schleswig-Holstein Netz
E20793012000000000000000893000004;SHN201400000001;3526;;Schleswig-Holstein Netz;02.01.2014;18:34:00;02.01.2014;20:04:00;000;EEG;110-kV-Ostermoor/W-Ostermoor/O-ROT;OSTERMOOR/W T122;Schleswig-Holstein Netz
E20793011000000000000017490230001;SHN201401021834;;;Schleswig-Holstein Netz;02.01.2014;18:34:00;02.01.2014;20:14:00;000;EEG;Netzengpass;Ostermoor;Schleswig-Holstein Netz
E20793011000000000000017490230002;SHN201401021834;;;Schleswig-Holstein Netz;02.01.2014;18:34:00;02.01.2014;20:14:00;000;EEG;Netzengpass;Ostermoor;Schleswig-Holstein Netz
E20793011000000000000017490230003;SHN201401021834;;;Schleswig-Holstein Netz;02.01.2014;18:34:00;02.01.2014;20:14:00;000;EEG;Netzengpass;Ostermoor;Schleswig-Holstein Netz
E2079301S120000000000027096200002;SHN201410000002;22348;;Schleswig-Holstein Netz;02.01.2014;18:34:05;02.01.2014;18:50:01;030;EEG;Netzengpass;Dingen.110/20.Trafo 122;Schleswig-Holstein Netz
E2079301S120000000000027096200003;SHN201410000002;22348;;Schleswig-Holstein Netz;02.01.2014;18:34:05;02.01.2014;18:50:01;030;EEG;Netzengpass;Dingen.110/20.Trafo 122;Schleswig-Holstein Netz
E2079301S120000000000027096200001;SHN201410000002;22348;;Schleswig-Holstein Netz;02.01.2014;18:34:05;02.01.2014;18:50:01;030;EEG;Netzengpass;Dingen.110/20.Trafo 122;Schleswig-Holstein Netz
E2079301S120000000000027096200004;SHN201410000002;22348;;Schleswig-Holstein Netz;02.01.2014;18:34:05;02.01.2014;18:50:01;030;EEG;Netzengpass;Dingen.110/20.Trafo 122;Schleswig-Holstein Netz
E20793012000000000000000907000001;SHN201410000004;3544;;Schleswig-Holstein Netz;02.01.2014;18:34:05;02.01.2014;20:04:27;000;EEG;Netzengpass;Ostermoor West.110/20.Umsp. 122;Schleswig-Holstein Netz
E20793014000000000000020561940001;SHN201401021839;10914;;Schleswig-Holstein Netz;02.01.2014;18:39:00;02.01.2014;20:53:00;060;EEG;Netzengpass;110-kV-Heide-Reinsbüttel-schwarz;Schleswig-Holstein Netz
E20793014000000000000020561940002;SHN201401021839;10914;;Schleswig-Holstein Netz;02.01.2014;18:39:00;02.01.2014;20:53:00;060;EEG;Netzengpass;110-kV-Heide-Reinsbüttel-schwarz;Schleswig-Holstein Netz
E20793014000000000000020935050001;SHN201400000002;12373;;Schleswig-Holstein Netz;02.01.2014;18:39:00;02.01.2014;20:53:00;060;EEG;110-kV-Heide-Reinsbüttel-schwarz;REINSBÜTTEL T125;Schleswig-Holstein Netz
E20793014000000000000003971000001;SHN201401021839;;;Schleswig-Holstein Netz;02.01.2014;18:39:00;02.01.2014;20:53:00;060;EEG;Netzengpass;110-kV-Heide-Reinsbüttel-schwarz;Schleswig-Holstein Netz
E20793014000000000000003971000002;SHN201401021839;;;Schleswig-Holstein Netz;02.01.2014;18:39:00;02.01.2014;20:53:00;060;EEG;Netzengpass;110-kV-Heide-Reinsbüttel-schwarz;Schleswig-Holstein Netz
E20793014000000000000020710610001;SHN201401021839;9354;;Schleswig-Holstein Netz;02.01.2014;18:39:00;02.01.2014;20:53:00;060;EEG;Netzengpass;Reinsbüttel.110/20.Trafo;Schleswig-Holstein Netz
E2079304S120000000000020981500002;SHN201411001073;15040;;Schleswig-Holstein Netz;02.01.2014;18:39:00;02.01.2014;20:53:00;060;EEG;Netzengpass;REINSBöœTTEL T125;Schleswig-Holstein Netz
E20793014S12000000000001762300001;SHN201411001073;15040;;Schleswig-Holstein Netz;02.01.2014;18:39:00;02.01.2014;20:53:00;060;EEG;Netzengpass;REINSBöœTTEL T125;Schleswig-Holstein Netz
E20793011000000000000021281310001;SHN201400000002;18831;;Schleswig-Holstein Netz;02.01.2014;18:39:00;02.01.2014;20:53:00;060;EEG;110-kV-Heide-Reinsbüttel-schwarz;REINSBÜTTEL T122;Schleswig-Holstein Netz
E20793011000000000000021537240001;SHN201411100124;13116;;Schleswig-Holstein Netz;02.01.2014;18:39:00;02.01.2014;20:53:00;060;EEG;Netzengpass;REINSBöœTTEL T122;Schleswig-Holstein Netz
E20793014S12000000000001849990001;SHN201401021839;18837;;Schleswig-Holstein Netz;02.01.2014;18:39:00;02.01.2014;20:53:00;060;EEG;Netzengpass;110-kV-Heide-Reinsbüttel-schwarz;Schleswig-Holstein Netz
E20793014S12000000000001849990003;SHN201401021839;18837;;Schleswig-Holstein Netz;02.01.2014;18:39:00;02.01.2014;20:53:00;060;EEG;Netzengpass;110-kV-Heide-Reinsbüttel-schwarz;Schleswig-Holstein Netz
E20793014S12000000000001860200002;SHN201401021839;18837;;Schleswig-Holstein Netz;02.01.2014;18:39:00;02.01.2014;20:53:00;060;EEG;Netzengpass;110-kV-Heide-Reinsbüttel-schwarz;Schleswig-Holstein Netz
E2079304S120000000000021419500002;SHN201410000006;18835;;Schleswig-Holstein Netz;02.01.2014;18:39:30;02.01.2014;20:53:32;060;EEG;Netzengpass;Reinsbüttel.110/20.Trafo 121;Schleswig-Holstein Netz
E2079304S120000000000021419300001;SHN201410000006;18835;;Schleswig-Holstein Netz;02.01.2014;18:39:30;02.01.2014;20:53:32;060;EEG;Netzengpass;Reinsbüttel.110/20.Trafo 121;Schleswig-Holstein Netz
E2079304S120000000000002142600003;SHN201410000006;18835;;Schleswig-Holstein Netz;02.01.2014;18:39:30;02.01.2014;20:53:32;060;EEG;Netzengpass;Reinsbüttel.110/20.Trafo 121;Schleswig-Holstein Netz
E2079304S120000000000021426400004;SHN201410000006;18835;;Schleswig-Holstein Netz;02.01.2014;18:39:30;02.01.2014;20:53:32;060;EEG;Netzengpass;Reinsbüttel.110/20.Trafo 121;Schleswig-Holstein Netz
E20793014000000000000020826460001;SHN201410000007;10817;;Schleswig-Holstein Netz;02.01.2014;18:39:30;02.01.2014;20:53:32;060;EEG;Netzengpass;Reinsbüttel.110/20.Trafo 122;Schleswig-Holstein Netz
E2079301S120000000000030587700001;SHN201411001418;38272;;Schleswig-Holstein Netz;02.01.2014;18:50:00;02.01.2014;20:04:00;000;EEG;Netzengpass;DINGEN T122;Schleswig-Holstein Netz
E2079301S120A00000000030587700002;SHN201411001418;38272;;Schleswig-Holstein Netz;02.01.2014;18:50:00;02.01.2014;20:04:00;000;EEG;Netzengpass;DINGEN T122;Schleswig-Holstein Netz
E2079301S120D00000000030587700004;SHN201411001418;38272;;Schleswig-Holstein Netz;02.01.2014;18:50:00;02.01.2014;20:04:00;000;EEG;Netzengpass;DINGEN T122;Schleswig-Holstein Netz
E2079301S120B00000000030587700003;SHN201411001418;38272;;Schleswig-Holstein Netz;02.01.2014;18:50:00;02.01.2014;20:04:00;000;EEG;Netzengpass;DINGEN T122;Schleswig-Holstein Netz
E2079301S120000000000027096200004;SHN201410000002;22348;;Schleswig-Holstein Netz;02.01.2014;18:50:01;02.01.2014;20:04:27;000;EEG;Netzengpass;Dingen.110/20.Trafo 122;Schleswig-Holstein Netz
E2079301S120000000000027096200002;SHN201410000002;22348;;Schleswig-Holstein Netz;02.01.2014;18:50:01;02.01.2014;20:04:27;000;EEG;Netzengpass;Dingen.110/20.Trafo 122;Schleswig-Holstein Netz
E2079301S120000000000027096200003;SHN201410000002;22348;;Schleswig-Holstein Netz;02.01.2014;18:50:01;02.01.2014;20:04:27;000;EEG;Netzengpass;Dingen.110/20.Trafo 122;Schleswig-Holstein Netz
E2079301S120000000000027096200001;SHN201410000002;22348;;Schleswig-Holstein Netz;02.01.2014;18:50:01;02.01.2014;20:04:27;000;EEG;Netzengpass;Dingen.110/20.Trafo 122;Schleswig-Holstein Netz
