Anlageschl;Einsatz-ID;Projektnummer;DSO Schlüssel 2;Netzbetreiber (ILN-Nummer);Datum Regelung ab;Uhrzeit Regelung ab;Datum Regelung bis;Uhrzeit Regelung bis;Regelstufe Einspeisermanagemen;Entschädigungspflichtig;Ursache;Ort;Anforderer (ILN-Nummer)
E20793019X00000000000002359000001;SHN201500000268;8389;;Schleswig-Holstein Netz;01.07.2014;14:53:19;01.07.2014;15:12:50;060;EEG;Netzengpass;Toftum.60/20.Trafo;Schleswig-Holstein Netz
E20793014000000000000002347000010;SHN201500000268;2291;;Schleswig-Holstein Netz;01.07.2014;14:53:19;01.07.2014;15:12:50;060;EEG;Netzengpass;Toftum.60/20.Trafo;Schleswig-Holstein Netz
E20793014000000000000002347000009;SHN201500000268;2291;;Schleswig-Holstein Netz;01.07.2014;14:53:19;01.07.2014;15:12:50;060;EEG;Netzengpass;Toftum.60/20.Trafo;Schleswig-Holstein Netz
E20793019Y00000000000002359000001;SHN201500000268;8389;;Schleswig-Holstein Netz;01.07.2014;14:53:19;01.07.2014;15:12:50;060;EEG;Netzengpass;Toftum.60/20.Trafo;Schleswig-Holstein Netz
E20793014000000000000002347000001;SHN201500000268;2291;;Schleswig-Holstein Netz;01.07.2014;14:53:19;01.07.2014;15:12:50;060;EEG;Netzengpass;Toftum.60/20.Trafo;Schleswig-Holstein Netz
E20793019000000000000002359000001;SHN201500000268;8389;;Schleswig-Holstein Netz;01.07.2014;14:53:19;01.07.2014;15:12:50;060;EEG;Netzengpass;Toftum.60/20.Trafo;Schleswig-Holstein Netz
E20793017000000000000021279540001;SHN201500002609;;;Schleswig-Holstein Netz;02.07.2014;12:08:00;02.07.2014;12:19:00;060;EEG;110-kV-Flensburg-Niebüll-ROT,Lindewitt,L;NIEBÜLL T122;Schleswig-Holstein Netz
E20793017000000000000021279540001;SHN201500002609;;;Schleswig-Holstein Netz;02.07.2014;12:19:00;02.07.2014;16:00:00;000;EEG;110-kV-Flensburg-Niebüll-ROT,Lindewitt,L;NIEBÜLL T122;Schleswig-Holstein Netz
E2079301EA10000000000062184600001;SHN201500000269;44026;;Schleswig-Holstein Netz;02.07.2014;13:22:29;02.07.2014;13:36:43;060;EEG;Netzengpass;Kropp.110/20.Umsp.;Schleswig-Holstein Netz
E2079301EA10000000000062184600002;SHN201500000269;44026;;Schleswig-Holstein Netz;02.07.2014;13:22:29;02.07.2014;13:36:43;060;EEG;Netzengpass;Kropp.110/20.Umsp.;Schleswig-Holstein Netz
E2079301EA10000000000062184600003;SHN201500000269;44026;;Schleswig-Holstein Netz;02.07.2014;13:22:29;02.07.2014;13:36:43;060;EEG;Netzengpass;Kropp.110/20.Umsp.;Schleswig-Holstein Netz
E20793018000000000000003697000003;SHN201500000269;2512;;Schleswig-Holstein Netz;02.07.2014;13:22:29;02.07.2014;13:36:43;060;EEG;Netzengpass;Kropp.110/20.Umsp.;Schleswig-Holstein Netz
E20793018000000000000003697000006;SHN201500000269;2512;;Schleswig-Holstein Netz;02.07.2014;13:22:29;02.07.2014;13:36:43;060;EEG;Netzengpass;Kropp.110/20.Umsp.;Schleswig-Holstein Netz
E20793018000000000000003697000005;SHN201500000269;2512;;Schleswig-Holstein Netz;02.07.2014;13:22:29;02.07.2014;13:36:43;060;EEG;Netzengpass;Kropp.110/20.Umsp.;Schleswig-Holstein Netz
E20793018000000000000003697000001;SHN201500000269;2512;;Schleswig-Holstein Netz;02.07.2014;13:22:29;02.07.2014;13:36:43;060;EEG;Netzengpass;Kropp.110/20.Umsp.;Schleswig-Holstein Netz
E20793018000000000000003697000002;SHN201500000269;2512;;Schleswig-Holstein Netz;02.07.2014;13:22:29;02.07.2014;13:36:43;060;EEG;Netzengpass;Kropp.110/20.Umsp.;Schleswig-Holstein Netz
E20793018000000000000003697000004;SHN201500000269;2512;;Schleswig-Holstein Netz;02.07.2014;13:22:29;02.07.2014;13:36:43;060;EEG;Netzengpass;Kropp.110/20.Umsp.;Schleswig-Holstein Netz
E2079301EA10000000000062184600005;SHN201500000269;44026;;Schleswig-Holstein Netz;02.07.2014;13:22:29;02.07.2014;13:36:43;060;EEG;Netzengpass;Kropp.110/20.Umsp.;Schleswig-Holstein Netz
E2079301EA10000000000062184600006;SHN201500000269;44026;;Schleswig-Holstein Netz;02.07.2014;13:22:29;02.07.2014;13:36:43;060;EEG;Netzengpass;Kropp.110/20.Umsp.;Schleswig-Holstein Netz
