Anlageschl;Einsatz-ID;Projektnummer;DSO Schlüssel 2;Netzbetreiber (ILN-Nummer);Datum Regelung ab;Uhrzeit Regelung ab;Datum Regelung bis;Uhrzeit Regelung bis;Regelstufe Einspeisermanagemen;Entschädigungspflichtig;Ursache;Ort;Anforderer (ILN-Nummer)
E2079301400000000000S017605480008;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:09:26;03.03.2014;12:18:49;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480014;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:09:26;03.03.2014;12:18:49;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480015;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:09:26;03.03.2014;12:18:49;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480005;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:09:26;03.03.2014;12:18:49;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480006;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:09:26;03.03.2014;12:18:49;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480004;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:09:26;03.03.2014;12:18:49;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E20793014000000000000002399000005;SHN201500000070;2433;;Schleswig-Holstein Netz;03.03.2014;12:09:26;03.03.2014;12:18:49;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480012;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:09:26;03.03.2014;12:18:49;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480016;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:09:26;03.03.2014;12:18:49;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E20793014000000000000002344000003;SHN201500000070;8950;;Schleswig-Holstein Netz;03.03.2014;12:09:26;03.03.2014;12:18:49;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480011;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:09:26;03.03.2014;12:18:49;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E20793014000000000000002399000006;SHN201500000070;2433;;Schleswig-Holstein Netz;03.03.2014;12:09:26;03.03.2014;12:18:49;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E20793014000000000000002399000007;SHN201500000070;2433;;Schleswig-Holstein Netz;03.03.2014;12:09:26;03.03.2014;12:18:49;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480009;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:09:26;03.03.2014;12:18:49;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480010;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:09:26;03.03.2014;12:18:49;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480013;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:09:26;03.03.2014;12:18:49;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480018;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:09:26;03.03.2014;12:18:49;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480017;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:09:26;03.03.2014;12:18:49;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480003;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:09:26;03.03.2014;12:18:49;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480001;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:09:26;03.03.2014;12:18:49;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480007;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:09:26;03.03.2014;12:18:49;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480002;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:09:26;03.03.2014;12:18:49;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480008;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:18:49;03.03.2014;12:32:41;030;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480014;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:18:49;03.03.2014;12:32:41;030;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480005;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:18:49;03.03.2014;12:32:41;030;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480002;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:18:49;03.03.2014;12:32:41;030;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480004;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:18:49;03.03.2014;12:32:41;030;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E20793014000000000000002399000005;SHN201500000070;2433;;Schleswig-Holstein Netz;03.03.2014;12:18:49;03.03.2014;12:32:41;030;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480012;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:18:49;03.03.2014;12:32:41;030;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480016;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:18:49;03.03.2014;12:32:41;030;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480007;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:18:49;03.03.2014;12:32:41;030;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480011;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:18:49;03.03.2014;12:32:41;030;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E20793014000000000000002399000006;SHN201500000070;2433;;Schleswig-Holstein Netz;03.03.2014;12:18:49;03.03.2014;12:32:41;030;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E20793014000000000000002399000007;SHN201500000070;2433;;Schleswig-Holstein Netz;03.03.2014;12:18:49;03.03.2014;12:32:41;030;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480009;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:18:49;03.03.2014;12:32:41;030;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480010;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:18:49;03.03.2014;12:32:41;030;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480013;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:18:49;03.03.2014;12:32:41;030;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480018;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:18:49;03.03.2014;12:32:41;030;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480003;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:18:49;03.03.2014;12:32:41;030;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480001;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:18:49;03.03.2014;12:32:41;030;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E20793014000000000000002344000003;SHN201500000070;8950;;Schleswig-Holstein Netz;03.03.2014;12:18:49;03.03.2014;12:32:41;030;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480017;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:18:49;03.03.2014;12:32:41;030;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480015;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:18:49;03.03.2014;12:32:41;030;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480006;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:18:49;03.03.2014;12:32:41;030;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480001;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:32:41;03.03.2014;12:42:41;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480008;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:32:41;03.03.2014;12:42:41;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480014;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:32:41;03.03.2014;12:42:41;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480015;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:32:41;03.03.2014;12:42:41;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480005;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:32:41;03.03.2014;12:42:41;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480002;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:32:41;03.03.2014;12:42:41;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480006;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:32:41;03.03.2014;12:42:41;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480004;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:32:41;03.03.2014;12:42:41;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E20793014000000000000002399000005;SHN201500000070;2433;;Schleswig-Holstein Netz;03.03.2014;12:32:41;03.03.2014;12:42:41;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480016;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:32:41;03.03.2014;12:42:41;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480007;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:32:41;03.03.2014;12:42:41;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E20793014000000000000002344000003;SHN201500000070;8950;;Schleswig-Holstein Netz;03.03.2014;12:32:41;03.03.2014;12:42:41;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480011;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:32:41;03.03.2014;12:42:41;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E20793014000000000000002399000006;SHN201500000070;2433;;Schleswig-Holstein Netz;03.03.2014;12:32:41;03.03.2014;12:42:41;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E20793014000000000000002399000007;SHN201500000070;2433;;Schleswig-Holstein Netz;03.03.2014;12:32:41;03.03.2014;12:42:41;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480009;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:32:41;03.03.2014;12:42:41;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480010;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:32:41;03.03.2014;12:42:41;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480018;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:32:41;03.03.2014;12:42:41;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480017;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:32:41;03.03.2014;12:42:41;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480013;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:32:41;03.03.2014;12:42:41;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480003;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:32:41;03.03.2014;12:42:41;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E2079301400000000000S017605480012;SHN201500000070;4572;;Schleswig-Holstein Netz;03.03.2014;12:32:41;03.03.2014;12:42:41;060;EEG;Netzengpass;Niebüll.110/60.Trafo;Schleswig-Holstein Netz
E20793014000000000000002226000001;SHN201411001792;2006;;Schleswig-Holstein Netz;03.03.2014;13:13:00;03.03.2014;15:31:00;000;EEG;Netzengpass;LINDEWITT T121;TenneT
E20793010000000000000017774980001;SHN201411000236;6332;;Schleswig-Holstein Netz;03.03.2014;13:13:00;03.03.2014;15:31:00;000;EEG;Netzengpass;LINDEWITT T121;TenneT
E20793010000000000000017774980003;SHN201411000236;6332;;Schleswig-Holstein Netz;03.03.2014;13:13:00;03.03.2014;15:31:00;000;EEG;Netzengpass;LINDEWITT T121;TenneT
E20793010000000000000017774980002;SHN201411000236;6332;;Schleswig-Holstein Netz;03.03.2014;13:13:00;03.03.2014;15:31:00;000;EEG;Netzengpass;LINDEWITT T121;TenneT
E2026001HRA00FLENSBURGE0000100002;SHN201411004178;41081;;Schleswig-Holstein Netz;03.03.2014;13:13:00;03.03.2014;15:31:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2026001HRA00FLENSBURGE0000100001;SHN201411004178;41081;;Schleswig-Holstein Netz;03.03.2014;13:13:00;03.03.2014;15:31:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2026001HRA00FLENSBURGE0000100010;SHN201411004178;41081;;Schleswig-Holstein Netz;03.03.2014;13:13:00;03.03.2014;15:31:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2026001HRA00FLENSBURGE0000100009;SHN201411004178;41081;;Schleswig-Holstein Netz;03.03.2014;13:13:00;03.03.2014;15:31:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2026001HRA00FLENSBURGE0000100011;SHN201411004178;41081;;Schleswig-Holstein Netz;03.03.2014;13:13:00;03.03.2014;15:31:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2026001HRA00FLENSBURGE0000100003;SHN201411004178;41081;;Schleswig-Holstein Netz;03.03.2014;13:13:00;03.03.2014;15:31:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2026001HRA00FLENSBURGE0000100006;SHN201411004178;41081;;Schleswig-Holstein Netz;03.03.2014;13:13:00;03.03.2014;15:31:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2026001HRA00FLENSBURGE0000100012;SHN201411004178;41081;;Schleswig-Holstein Netz;03.03.2014;13:13:00;03.03.2014;15:31:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2026001HRA00FLENSBURGE0000100008;SHN201411004178;41081;;Schleswig-Holstein Netz;03.03.2014;13:13:00;03.03.2014;15:31:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2026001HRA00FLENSBURGE0000100007;SHN201411004178;41081;;Schleswig-Holstein Netz;03.03.2014;13:13:00;03.03.2014;15:31:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2026001HRA00FLENSBURGE0000100004;SHN201411004178;41081;;Schleswig-Holstein Netz;03.03.2014;13:13:00;03.03.2014;15:31:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2026001HRA00FLENSBURGE0000100005;SHN201411004178;41081;;Schleswig-Holstein Netz;03.03.2014;13:13:00;03.03.2014;15:31:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2325401HRA0000000BDUPE0000100001;SHN201411004045;44510;;Schleswig-Holstein Netz;03.03.2014;13:13:00;03.03.2014;15:31:00;000;EEG;Netzengpass;BARDERUP T121;TenneT
E2325401HRA0000000BDUPE0000100002;SHN201411004045;44510;;Schleswig-Holstein Netz;03.03.2014;13:13:00;03.03.2014;15:31:00;000;EEG;Netzengpass;BARDERUP T121;TenneT
E2079301S120000000000021164900001;SHN201410000979;11751;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793012000000000000021066130001;SHN201410000986;16050;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Schwensby.110/20.Trafo 121;TenneT
E20793014000000000000020924340001;SHN201500000979;33678;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;Schleswig-Holstein Netz
E2079301EA01000000000212494500001;SHN201500000981;13411;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Soholm.110/20.Trafo 121;Schleswig-Holstein Netz
E2079301S120000000000022337800001;SHN201410000982;7247;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Weding.110/20.Umsp. 121;TenneT
E2079301S120000000000040092600001;SHN201410000981;27253;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Soholm.110/20.Trafo 121;TenneT
E2079301S120000000000019035600001;SHN201410000985;43476;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;030;EEG;Netzengpass;Tarp.110/20.Trafo 122;TenneT
E20793014000000000000020867680002;SHN201510000979;13524;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793017000000000000020707640008;SHN201510000981;12776;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Soholm.110/20.Trafo;Schleswig-Holstein Netz
E20793017000000000000020707640002;SHN201510000981;12776;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Soholm.110/20.Trafo;Schleswig-Holstein Netz
E20793017000000000000020707640007;SHN201510000981;12776;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Soholm.110/20.Trafo;Schleswig-Holstein Netz
E20793017000000000000020707640009;SHN201510000981;12776;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Soholm.110/20.Trafo;Schleswig-Holstein Netz
E20793017000000000000020707640004;SHN201510000981;12776;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Soholm.110/20.Trafo;Schleswig-Holstein Netz
E20793017000000000000020707640005;SHN201510000981;12776;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Soholm.110/20.Trafo;Schleswig-Holstein Netz
E20793017000000000000020707640003;SHN201510000981;12776;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Soholm.110/20.Trafo;Schleswig-Holstein Netz
E20793017000000000000020707640011;SHN201510000981;12776;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Soholm.110/20.Trafo;Schleswig-Holstein Netz
E20793017000000000000020707640010;SHN201510000981;12776;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Soholm.110/20.Trafo;Schleswig-Holstein Netz
E20793017000000000000020707640006;SHN201510000981;12776;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Soholm.110/20.Trafo;Schleswig-Holstein Netz
E2079301S120000000000035099500002;SHN201510000983;35748;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Weding.110/20.Umsp.;Schleswig-Holstein Netz
E20793012000000000000021330250002;SHN201510000984;21390;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;030;EEG;Netzengpass;Tarp.110/20.Trafo;Schleswig-Holstein Netz
E2079301S120000000000040092600003;SHN201410000981;27253;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Soholm.110/20.Trafo 121;TenneT
E2079301S120000000000040092600002;SHN201410000981;27253;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Soholm.110/20.Trafo 121;TenneT
E20793010S12000000000001940670001;SHN201500000981;26096;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Soholm.110/20.Trafo;TenneT
E2079301S120000000000027264800001;SHN201500000981;24337;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Soholm.110/20.Trafo;TenneT
E20793010S12000000000001940620001;SHN201500000981;26096;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Soholm.110/20.Trafo;TenneT
E20793014000000000000020998580001;SHN201500000979;16054;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;TenneT
E20793010000000000000021297190001;SHN201500000979;23306;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;TenneT
E20793014000000000000021334480001;SHN201500000979;20890;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;TenneT
E2079301S120000000000028368400001;SHN201500000979;35274;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;TenneT
E20793010000000000000021339690001;SHN201500000979;20996;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;TenneT
E20793010000000000000002220000004;SHN201500000979;2285;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;TenneT
E20793014S12000000000002281080001;SHN201500000979;28565;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;TenneT
E2079300S120000000000020761100002;SHN201500000979;39470;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;TenneT
E2079301EA01000000000206114100001;SHN201500000979;11767;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;TenneT
E20793010S12000000000002230600001;SHN201500000979;22345;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;TenneT
E2079301S120000000000032104900001;SHN201500000979;36961;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;TenneT
E20793019000000000000002128000005;SHN201500000979;2001;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;TenneT
E20793014000000000000021295170001;SHN201500000979;16666;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;TenneT
E20793016000000000000020284290001;SHN201500000979;8723;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;TenneT
E20793010000000000000002220000001;SHN201500000979;2285;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;TenneT
E20793014000000000000020852250001;SHN201500000979;15440;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;TenneT
E20793010000000000000020268110001;SHN201500000979;7449;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;TenneT
E20793016000000000000021342040001;SHN201500000979;23167;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;TenneT
E20793014000000000000020894590001;SHN201500000979;15246;;Schleswig-Holstein Netz;03.03.2014;13:13:57;03.03.2014;15:31:49;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;TenneT
