Anlageschl;Einsatz-ID;Projektnummer;DSO Schlüssel 2;Netzbetreiber (ILN-Nummer);Datum Regelung ab;Uhrzeit Regelung ab;Datum Regelung bis;Uhrzeit Regelung bis;Regelstufe Einspeisermanagemen;Entschädigungspflichtig;Ursache;Ort;Anforderer (ILN-Nummer)
E2079301EA01000000000049808800001;SHN201500000182;32530;;Schleswig-Holstein Netz;01.05.2014;11:15:40;01.05.2014;11:49:10;060;EEG;Netzengpass;Lindewitt.20.J18/J17;Schleswig-Holstein Netz
E2079301EA01000000000049808800002;SHN201500000182;32530;;Schleswig-Holstein Netz;01.05.2014;11:15:40;01.05.2014;11:49:10;060;EEG;Netzengpass;Lindewitt.20.J18/J17;Schleswig-Holstein Netz
E2079301EA01000000000049808800001;SHN201500000183;32530;;Schleswig-Holstein Netz;01.05.2014;12:25:10;01.05.2014;12:34:30;060;EEG;Netzengpass;Lindewitt.20.J18/J17;Schleswig-Holstein Netz
E2079301EA01000000000049808800002;SHN201500000183;32530;;Schleswig-Holstein Netz;01.05.2014;12:25:10;01.05.2014;12:34:30;060;EEG;Netzengpass;Lindewitt.20.J18/J17;Schleswig-Holstein Netz
E2079301EA01000000000049808800001;SHN201500000183;32530;;Schleswig-Holstein Netz;01.05.2014;12:34:30;01.05.2014;13:06:00;030;EEG;Netzengpass;Lindewitt.20.J18/J17;Schleswig-Holstein Netz
E2079301EA01000000000049808800002;SHN201500000183;32530;;Schleswig-Holstein Netz;01.05.2014;12:34:30;01.05.2014;13:06:00;030;EEG;Netzengpass;Lindewitt.20.J18/J17;Schleswig-Holstein Netz
E2079301EA01000000000049808800001;SHN201500000183;32530;;Schleswig-Holstein Netz;01.05.2014;13:06:00;01.05.2014;13:34:50;000;EEG;Netzengpass;Lindewitt.20.J18/J17;Schleswig-Holstein Netz
E2079301EA01000000000049808800002;SHN201500000183;32530;;Schleswig-Holstein Netz;01.05.2014;13:06:00;01.05.2014;13:34:50;000;EEG;Netzengpass;Lindewitt.20.J18/J17;Schleswig-Holstein Netz
E2079301S120000000000041844900001;SHN201520000184;13066;;Schleswig-Holstein Netz;01.05.2014;13:10:48;01.05.2014;13:55:11;060;EEG;Netzengpass;Breklum.110/20.Umsp.;Schleswig-Holstein Netz
E20793012000000000000021246340001;SHN201500000184;20644;;Schleswig-Holstein Netz;01.05.2014;13:10:48;01.05.2014;13:55:11;060;EEG;Netzengpass;Breklum.110/20.Umsp.;Schleswig-Holstein Netz
