Anlageschl;Einsatz-ID;Projektnummer;DSO Schl¸ssel 2;Netzbetreiber (ILN-Nummer);Datum Regelung ab;Uhrzeit Regelung ab;Datum Regelung bis;Uhrzeit Regelung bis;Regelstufe Einspeisermanagemen;Entsch‰digungspflichtig;Ursache;Ort;Anforderer (ILN-Nummer)
E20793013000000000000002336000001;SHN201410004206;2453;;Schleswig-Holstein Netz;02.11.2014;11:19:20;02.11.2014;16:13:33;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E20793013000000000000002336000002;SHN201410004206;2453;;Schleswig-Holstein Netz;02.11.2014;11:19:20;02.11.2014;16:13:33;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E20793010000000000000020884940001;SHN201410004206;13051;;Schleswig-Holstein Netz;02.11.2014;11:19:20;02.11.2014;16:13:33;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E20793013000000000000002334000001;SHN201500004206;2453;;Schleswig-Holstein Netz;02.11.2014;11:19:20;02.11.2014;16:13:33;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E20793018000000000000002395000001;SHN201500004206;2022;;Schleswig-Holstein Netz;02.11.2014;11:19:20;02.11.2014;16:13:33;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E20793018000000000000002395000002;SHN201500004206;2022;;Schleswig-Holstein Netz;02.11.2014;11:19:20;02.11.2014;16:13:33;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E20793018000000000000002395000003;SHN201500004206;2022;;Schleswig-Holstein Netz;02.11.2014;11:19:20;02.11.2014;16:13:33;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E20793018000000000000002395000004;SHN201500004206;2022;;Schleswig-Holstein Netz;02.11.2014;11:19:20;02.11.2014;16:13:33;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E20793018000000000000002395000005;SHN201500004206;2022;;Schleswig-Holstein Netz;02.11.2014;11:19:20;02.11.2014;16:13:33;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E20793018000000000000002395000006;SHN201500004206;2022;;Schleswig-Holstein Netz;02.11.2014;11:19:20;02.11.2014;16:13:33;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E20793018000000000000002395000007;SHN201500004206;2022;;Schleswig-Holstein Netz;02.11.2014;11:19:20;02.11.2014;16:13:33;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA01000000000046994300001;SHN201500004206;35959;;Schleswig-Holstein Netz;02.11.2014;11:19:20;02.11.2014;16:13:33;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA01000000000046994300002;SHN201500004206;35959;;Schleswig-Holstein Netz;02.11.2014;11:19:20;02.11.2014;16:13:33;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA01000000000046994300003;SHN201500004206;35959;;Schleswig-Holstein Netz;02.11.2014;11:19:20;02.11.2014;16:13:33;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E20793010000000000000017572060002;SHN201500004206;5881;;Schleswig-Holstein Netz;02.11.2014;11:19:20;02.11.2014;16:13:33;000;EEG;NETZENGPASS;Lindewitt Nord.110/20.Trafo 121;TenneT
E20793010000000000000017572060001;SHN201500004206;5881;;Schleswig-Holstein Netz;02.11.2014;11:19:20;02.11.2014;16:13:33;000;EEG;NETZENGPASS;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079300S120000000000020761100001;SHN201410004207;39470;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793010000000000000017774980001;SHN201410004207;6332;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793010000000000000017774980003;SHN201410004207;6332;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793010000000000000017774980002;SHN201410004207;6332;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E2079301EA02000000000070079700002;SHN201510004207;36536;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E2079301EA03000000000070079700003;SHN201510004207;36536;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E2079301EA04000000000070079700004;SHN201510004207;36536;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E2079301EA01000000000070079700001;SHN201510004207;36536;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E2079301SZP0000000000065262500001;SHN201410004207;48942;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E2079300S120000000000020761100002;SHN201410004207;39470;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793010000000000000020839300001;SHN201410004207;13224;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793010000000000000021043270001;SHN201410004207;18762;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793010000000000000021297190001;SHN201410004207;23306;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793010000000000000021339690001;SHN201410004207;20996;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793010000000000000021514230001;SHN201410004207;25101;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793010S12000000000001895470001;SHN201410004207;31878;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793014000000000000020894590001;SHN201410004207;15246;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793014000000000000020978850001;SHN201410004207;16482;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793014000000000000020978850002;SHN201410004207;16482;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793014000000000000020978850003;SHN201410004207;16482;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793014000000000000021346520001;SHN201410004207;15708;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793014000000000000021389210001;SHN201410004207;24194;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E2079301EA01000000000206114100001;SHN201410004207;11767;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
