Anlageschl;Einsatz-ID;Projektnummer;DSO Schl¸ssel 2;Netzbetreiber (ILN-Nummer);Datum Regelung ab;Uhrzeit Regelung ab;Datum Regelung bis;Uhrzeit Regelung bis;Regelstufe Einspeisermanagemen;Entsch‰digungspflichtig;Ursache;Ort;Anforderer (ILN-Nummer)
E2026001HRA00FLENSBURGE0000100005;SHN201411000678;41081;;Schleswig-Holstein Netz;04.10.2014;14:50:00;04.10.2014;18:00:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2026001HRA00FLENSBURGE0000100002;SHN201411000678;41081;;Schleswig-Holstein Netz;04.10.2014;14:50:00;04.10.2014;18:00:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2026001HRA00FLENSBURGE0000100003;SHN201411000678;41081;;Schleswig-Holstein Netz;04.10.2014;14:50:00;04.10.2014;18:00:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2026001HRA00FLENSBURGE0000100012;SHN201411000678;41081;;Schleswig-Holstein Netz;04.10.2014;14:50:00;04.10.2014;18:00:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2026001HRA00FLENSBURGE0000100010;SHN201411000678;41081;;Schleswig-Holstein Netz;04.10.2014;14:50:00;04.10.2014;18:00:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2026001HRA00FLENSBURGE0000100011;SHN201411000678;41081;;Schleswig-Holstein Netz;04.10.2014;14:50:00;04.10.2014;18:00:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2026001HRA00FLENSBURGE0000100007;SHN201411000678;41081;;Schleswig-Holstein Netz;04.10.2014;14:50:00;04.10.2014;18:00:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2026001HRA00FLENSBURGE0000100008;SHN201411000678;41081;;Schleswig-Holstein Netz;04.10.2014;14:50:00;04.10.2014;18:00:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2026001HRA00FLENSBURGE0000100006;SHN201411000678;41081;;Schleswig-Holstein Netz;04.10.2014;14:50:00;04.10.2014;18:00:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2026001HRA00FLENSBURGE0000100009;SHN201411000678;41081;;Schleswig-Holstein Netz;04.10.2014;14:50:00;04.10.2014;18:00:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2026001HRA00FLENSBURGE0000100001;SHN201411000678;41081;;Schleswig-Holstein Netz;04.10.2014;14:50:00;04.10.2014;18:00:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2026001HRA00FLENSBURGE0000100004;SHN201411000678;41081;;Schleswig-Holstein Netz;04.10.2014;14:50:00;04.10.2014;18:00:00;000;EEG;Netzengpass;FLENSBURG T121;TenneT
E2325401HRA0000000SIEVE0000100002;SHN201411004653;27999;;Schleswig-Holstein Netz;04.10.2014;14:50:00;04.10.2014;18:00:00;030;EEG;Netzengpass;Sieversted Eip_T101;TenneT
E2325401HRA0000000SIEVE0000100006;SHN201411004653;27999;;Schleswig-Holstein Netz;04.10.2014;14:50:00;04.10.2014;18:00:00;030;EEG;Netzengpass;Sieversted Eip_T101;TenneT
E2325401HRA0000000SIEVE0000100014;SHN201411004653;27999;;Schleswig-Holstein Netz;04.10.2014;14:50:00;04.10.2014;18:00:00;030;EEG;Netzengpass;Sieversted Eip_T101;TenneT
E2325401HRA0000000SIEVE0000100008;SHN201411004653;27999;;Schleswig-Holstein Netz;04.10.2014;14:50:00;04.10.2014;18:00:00;030;EEG;Netzengpass;Sieversted Eip_T101;TenneT
E2325401HRA0000000SIEVE0000100003;SHN201411004653;27999;;Schleswig-Holstein Netz;04.10.2014;14:50:00;04.10.2014;18:00:00;030;EEG;Netzengpass;Sieversted Eip_T101;TenneT
E2325401HRA0000000SIEVE0000100017;SHN201411004653;27999;;Schleswig-Holstein Netz;04.10.2014;14:50:00;04.10.2014;18:00:00;030;EEG;Netzengpass;Sieversted Eip_T101;TenneT
E2325401HRA0000000SIEVE0000100004;SHN201411004653;27999;;Schleswig-Holstein Netz;04.10.2014;14:50:00;04.10.2014;18:00:00;030;EEG;Netzengpass;Sieversted Eip_T101;TenneT
E2325401HRA0000000SIEVE0000100001;SHN201411004653;27999;;Schleswig-Holstein Netz;04.10.2014;14:50:00;04.10.2014;18:00:00;030;EEG;Netzengpass;Sieversted Eip_T101;TenneT
E2325401HRA0000000SIEVE0000100011;SHN201411004653;27999;;Schleswig-Holstein Netz;04.10.2014;14:50:00;04.10.2014;18:00:00;030;EEG;Netzengpass;Sieversted Eip_T101;TenneT
E2325401HRA0000000SIEVE0000100018;SHN201411004653;27999;;Schleswig-Holstein Netz;04.10.2014;14:50:00;04.10.2014;18:00:00;030;EEG;Netzengpass;Sieversted Eip_T101;TenneT
E2325401HRA0000000SIEVE0000100010;SHN201411004653;27999;;Schleswig-Holstein Netz;04.10.2014;14:50:00;04.10.2014;18:00:00;030;EEG;Netzengpass;Sieversted Eip_T101;TenneT
E2325401HRA0000000SIEVE0000100012;SHN201411004653;27999;;Schleswig-Holstein Netz;04.10.2014;14:50:00;04.10.2014;18:00:00;030;EEG;Netzengpass;Sieversted Eip_T101;TenneT
E2325401HRA0000000SIEVE0000100016;SHN201411004653;27999;;Schleswig-Holstein Netz;04.10.2014;14:50:00;04.10.2014;18:00:00;030;EEG;Netzengpass;Sieversted Eip_T101;TenneT
E2325401HRA0000000SIEVE0000100009;SHN201411004653;27999;;Schleswig-Holstein Netz;04.10.2014;14:50:00;04.10.2014;18:00:00;030;EEG;Netzengpass;Sieversted Eip_T101;TenneT
E2325401HRA0000000SIEVE0000100015;SHN201411004653;27999;;Schleswig-Holstein Netz;04.10.2014;14:50:00;04.10.2014;18:00:00;030;EEG;Netzengpass;Sieversted Eip_T101;TenneT
E2325401HRA0000000SIEVE0000100007;SHN201411004653;27999;;Schleswig-Holstein Netz;04.10.2014;14:50:00;04.10.2014;18:00:00;030;EEG;Netzengpass;Sieversted Eip_T101;TenneT
E2325401HRA0000000SIEVE0000100013;SHN201411004653;27999;;Schleswig-Holstein Netz;04.10.2014;14:50:00;04.10.2014;18:00:00;030;EEG;Netzengpass;Sieversted Eip_T101;TenneT
E2325401HRA0000000SIEVE0000100005;SHN201411004653;27999;;Schleswig-Holstein Netz;04.10.2014;14:50:00;04.10.2014;18:00:00;030;EEG;Netzengpass;Sieversted Eip_T101;TenneT
E2325401HRA0000000BDUPE0000100001;SHN201411004497;44510;;Schleswig-Holstein Netz;04.10.2014;14:50:00;04.10.2014;18:00:00;000;EEG;Netzengpass;Barderup_T121;TenneT
