Anlageschl;Einsatz-ID;Projektnummer;DSO Schlüssel 2;Netzbetreiber (ILN-Nummer);Datum Regelung ab;Uhrzeit Regelung ab;Datum Regelung bis;Uhrzeit Regelung bis;Regelstufe Einspeisermanagemen;Entschädigungspflichtig;Ursache;Ort;Anforderer (ILN-Nummer)
E20793013000000000000021238450001;SHN201516666112;3112015;;Schleswig-Holstein Netz;01.08.2015;10:00:00;01.08.2015;16:00:00;000;EEG;Netzengpass;Ort Engpass;Schleswig-Holstein Netz
E20793010000000000000003476000004;SHN201540000195;2524;;Schleswig-Holstein Netz;03.08.2015;07:41:10;04.08.2015;16:00:58;000;ENWG;Netzengpass;Mobile SA 1.20.J07.ges;Schleswig-Holstein Netz
E20793019000000000000003536000008;SHN201540000195;2541;;Schleswig-Holstein Netz;03.08.2015;07:41:10;04.08.2015;16:00:58;000;ENWG;Netzengpass;Mobile SA 1.20.J07.ges;Schleswig-Holstein Netz
E20793019000000000000003536000007;SHN201540000195;2541;;Schleswig-Holstein Netz;03.08.2015;07:41:10;04.08.2015;16:00:58;000;ENWG;Netzengpass;Mobile SA 1.20.J07.ges;Schleswig-Holstein Netz
E20793019000000000000003536000005;SHN201540000195;2541;;Schleswig-Holstein Netz;03.08.2015;07:41:10;04.08.2015;16:00:58;000;ENWG;Netzengpass;Mobile SA 1.20.J07.ges;Schleswig-Holstein Netz
E20793019000000000000003536000004;SHN201540000195;2541;;Schleswig-Holstein Netz;03.08.2015;07:41:10;04.08.2015;16:00:58;000;ENWG;Netzengpass;Mobile SA 1.20.J07.ges;Schleswig-Holstein Netz
E20793019000000000000003536000002;SHN201540000195;2541;;Schleswig-Holstein Netz;03.08.2015;07:41:10;04.08.2015;16:00:58;000;ENWG;Netzengpass;Mobile SA 1.20.J07.ges;Schleswig-Holstein Netz
E20793019000000000000003536000006;SHN201540000195;2541;;Schleswig-Holstein Netz;03.08.2015;07:41:10;04.08.2015;16:00:58;000;ENWG;Netzengpass;Mobile SA 1.20.J07.ges;Schleswig-Holstein Netz
E20793019000000000000003536000001;SHN201540000195;2541;;Schleswig-Holstein Netz;03.08.2015;07:41:10;04.08.2015;16:00:58;000;ENWG;Netzengpass;Mobile SA 1.20.J07.ges;Schleswig-Holstein Netz
E20793013000000000000003492000006;SHN201540000195;2048;;Schleswig-Holstein Netz;03.08.2015;07:41:10;04.08.2015;16:00:58;000;ENWG;Netzengpass;Mobile SA 1.20.J07.ges;Schleswig-Holstein Netz
E20793019000000000000003536000003;SHN201540000195;2541;;Schleswig-Holstein Netz;03.08.2015;07:41:10;04.08.2015;16:00:58;000;ENWG;Netzengpass;Mobile SA 1.20.J07.ges;Schleswig-Holstein Netz
E20793010000000000000003476000002;SHN201540000195;2524;;Schleswig-Holstein Netz;03.08.2015;07:41:10;04.08.2015;16:00:58;000;ENWG;Netzengpass;Mobile SA 1.20.J07.ges;Schleswig-Holstein Netz
E20793013000000000000003492000001;SHN201540000195;2048;;Schleswig-Holstein Netz;03.08.2015;07:41:10;04.08.2015;16:00:58;000;ENWG;Netzengpass;Mobile SA 1.20.J07.ges;Schleswig-Holstein Netz
E20793013000000000000003492000004;SHN201540000195;2048;;Schleswig-Holstein Netz;03.08.2015;07:41:10;04.08.2015;16:00:58;000;ENWG;Netzengpass;Mobile SA 1.20.J07.ges;Schleswig-Holstein Netz
