Anlageschl;Einsatz-ID;Projektnummer;DSO Schlüssel 2;Netzbetreiber (ILN-Nummer);Datum Regelung ab;Uhrzeit Regelung ab;Datum Regelung bis;Uhrzeit Regelung bis;Regelstufe Einspeisermanagemen;Entschädigungspflichtig;Ursache;Ort;Anforderer (ILN-Nummer)
E2079301EA01000000000075429200001;SHN201650000387;49511;;Schleswig-Holstein Netz;01.06.2016;07:22:15;01.06.2016;15:10:14;000;EEG;Netzengpass;Horstedt.110/30.Trafo 131.ges;Schleswig-Holstein Netz
E20793010000000000000020738180005;SHN201650000387;13919;;Schleswig-Holstein Netz;01.06.2016;07:22:15;01.06.2016;15:10:46;000;EEG;Netzengpass;Horstedt.110/30.Trafo 131.ges;Schleswig-Holstein Netz
E20793010000000000000020738180004;SHN201650000387;13919;;Schleswig-Holstein Netz;01.06.2016;07:22:15;01.06.2016;15:10:46;000;EEG;Netzengpass;Horstedt.110/30.Trafo 131.ges;Schleswig-Holstein Netz
E20793010000000000000020738180003;SHN201650000387;13919;;Schleswig-Holstein Netz;01.06.2016;07:22:15;01.06.2016;15:10:46;000;EEG;Netzengpass;Horstedt.110/30.Trafo 131.ges;Schleswig-Holstein Netz
E20793010000000000000020738180002;SHN201650000387;13919;;Schleswig-Holstein Netz;01.06.2016;07:22:15;01.06.2016;15:10:46;000;EEG;Netzengpass;Horstedt.110/30.Trafo 131.ges;Schleswig-Holstein Netz
E20793010000000000000020738180001;SHN201650000387;13919;;Schleswig-Holstein Netz;01.06.2016;07:22:15;01.06.2016;15:10:46;000;EEG;Netzengpass;Horstedt.110/30.Trafo 131.ges;Schleswig-Holstein Netz
E20793010000000000000021371360001;SHN201650000387;25740;;Schleswig-Holstein Netz;01.06.2016;07:22:17;01.06.2016;15:11:02;000;EEG;Netzengpass;Horstedt.110/30.Trafo 131.ges;Schleswig-Holstein Netz
E20793010000000000000021510120001;SHN201650000387;25595;;Schleswig-Holstein Netz;01.06.2016;07:23:10;01.06.2016;15:11:44;000;EEG;Netzengpass;Horstedt.110/30.Trafo 131.ges;Schleswig-Holstein Netz
E2079301S120D00000000033193700005;SHN201650000387;31966;;Schleswig-Holstein Netz;01.06.2016;07:23:19;01.06.2016;15:11:48;000;EEG;Netzengpass;Horstedt.110/30.Trafo 131.ges;Schleswig-Holstein Netz
E2079301S120000000000033193700004;SHN201650000387;31966;;Schleswig-Holstein Netz;01.06.2016;07:23:19;01.06.2016;15:11:48;000;EEG;Netzengpass;Horstedt.110/30.Trafo 131.ges;Schleswig-Holstein Netz
E2079301S120000000000033193700003;SHN201650000387;31966;;Schleswig-Holstein Netz;01.06.2016;07:23:19;01.06.2016;15:11:48;000;EEG;Netzengpass;Horstedt.110/30.Trafo 131.ges;Schleswig-Holstein Netz
E2079301S120000000000033193700002;SHN201650000387;31966;;Schleswig-Holstein Netz;01.06.2016;07:23:19;01.06.2016;15:11:48;000;EEG;Netzengpass;Horstedt.110/30.Trafo 131.ges;Schleswig-Holstein Netz
E2079301S120000000000033193700001;SHN201650000387;31966;;Schleswig-Holstein Netz;01.06.2016;07:23:19;01.06.2016;15:11:48;000;EEG;Netzengpass;Horstedt.110/30.Trafo 131.ges;Schleswig-Holstein Netz
E2079301EA06000000000033193700010;SHN201650000387;38133;;Schleswig-Holstein Netz;01.06.2016;07:23:19;01.06.2016;15:11:48;000;EEG;Netzengpass;Horstedt.110/30.Trafo 131.ges;Schleswig-Holstein Netz
E2079301EA06000000000033193700009;SHN201650000387;38133;;Schleswig-Holstein Netz;01.06.2016;07:23:19;01.06.2016;15:11:48;000;EEG;Netzengpass;Horstedt.110/30.Trafo 131.ges;Schleswig-Holstein Netz
E2079301EA06000000000033193700008;SHN201650000387;38133;;Schleswig-Holstein Netz;01.06.2016;07:23:19;01.06.2016;15:11:48;000;EEG;Netzengpass;Horstedt.110/30.Trafo 131.ges;Schleswig-Holstein Netz
E2079301EA06000000000033193700007;SHN201650000387;38133;;Schleswig-Holstein Netz;01.06.2016;07:23:19;01.06.2016;15:11:48;000;EEG;Netzengpass;Horstedt.110/30.Trafo 131.ges;Schleswig-Holstein Netz
E2079301EA06000000000033193700006;SHN201650000387;38133;;Schleswig-Holstein Netz;01.06.2016;07:23:19;01.06.2016;15:11:48;000;EEG;Netzengpass;Horstedt.110/30.Trafo 131.ges;Schleswig-Holstein Netz
E2079301S120000000000039561500003;SHN201650000387;25871;;Schleswig-Holstein Netz;01.06.2016;07:23:43;01.06.2016;15:12:18;000;EEG;Netzengpass;Horstedt.110/30.Trafo 131.ges;Schleswig-Holstein Netz
E2079301S120000000000039561100002;SHN201650000387;25871;;Schleswig-Holstein Netz;01.06.2016;07:23:43;01.06.2016;15:12:18;000;EEG;Netzengpass;Horstedt.110/30.Trafo 131.ges;Schleswig-Holstein Netz
E2079301EA04000000000019422000005;SHN201650000387;25871;;Schleswig-Holstein Netz;01.06.2016;07:23:43;01.06.2016;15:12:18;000;EEG;Netzengpass;Horstedt.110/30.Trafo 131.ges;Schleswig-Holstein Netz
E2079301EA04000000000019422000004;SHN201650000387;25871;;Schleswig-Holstein Netz;01.06.2016;07:23:43;01.06.2016;15:12:18;000;EEG;Netzengpass;Horstedt.110/30.Trafo 131.ges;Schleswig-Holstein Netz
E20793010S12000000000001942200001;SHN201650000387;25871;;Schleswig-Holstein Netz;01.06.2016;07:23:43;01.06.2016;15:12:18;000;EEG;Netzengpass;Horstedt.110/30.Trafo 131.ges;Schleswig-Holstein Netz
E2079301EA05000000000070093700005;SHN201610005428;37438;;Schleswig-Holstein Netz;01.06.2016;12:10:05;01.06.2016;20:09:50;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA04000000000070093700004;SHN201610005428;37438;;Schleswig-Holstein Netz;01.06.2016;12:10:05;01.06.2016;20:09:50;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA03000000000070093700003;SHN201610005428;37438;;Schleswig-Holstein Netz;01.06.2016;12:10:05;01.06.2016;20:09:50;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA02000000000070093700002;SHN201610005428;37438;;Schleswig-Holstein Netz;01.06.2016;12:10:05;01.06.2016;20:09:50;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA01000000000070093700001;SHN201610005428;37438;;Schleswig-Holstein Netz;01.06.2016;12:10:05;01.06.2016;20:09:50;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA09000000000070093700009;SHN201610005428;37438;;Schleswig-Holstein Netz;01.06.2016;12:10:05;01.06.2016;20:09:50;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA08000000000070093700008;SHN201610005428;37438;;Schleswig-Holstein Netz;01.06.2016;12:10:05;01.06.2016;20:09:50;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA07000000000070093700007;SHN201610005428;37438;;Schleswig-Holstein Netz;01.06.2016;12:10:05;01.06.2016;20:09:50;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA06000000000070093700006;SHN201610005428;37438;;Schleswig-Holstein Netz;01.06.2016;12:10:05;01.06.2016;20:09:50;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA01000000000046994300003;SHN201610005428;35959;;Schleswig-Holstein Netz;01.06.2016;12:10:05;01.06.2016;20:09:51;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA01000000000046994300002;SHN201610005428;35959;;Schleswig-Holstein Netz;01.06.2016;12:10:05;01.06.2016;20:09:51;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA01000000000046994300001;SHN201610005428;35959;;Schleswig-Holstein Netz;01.06.2016;12:10:05;01.06.2016;20:09:51;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA03000000000071094100003;SHN201610005428;44219;;Schleswig-Holstein Netz;01.06.2016;12:10:05;01.06.2016;20:09:51;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA02000000000071094100002;SHN201610005428;44219;;Schleswig-Holstein Netz;01.06.2016;12:10:05;01.06.2016;20:09:51;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA01000000000071094100001;SHN201610005428;44219;;Schleswig-Holstein Netz;01.06.2016;12:10:05;01.06.2016;20:09:51;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA01000000000075089800006;SHN201610005431;44317;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;19:55:24;000;EEG;Netzengpass;Schwensby.110/20.Trafo 121;TenneT
E2079301EA01000000000075089800004;SHN201610005431;44317;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;19:55:24;000;EEG;Netzengpass;Schwensby.110/20.Trafo 121;TenneT
E2079301EA01000000000075089800003;SHN201610005431;44317;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;19:55:24;000;EEG;Netzengpass;Schwensby.110/20.Trafo 121;TenneT
E2079301EA01000000000075089800002;SHN201610005431;44317;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;19:55:24;000;EEG;Netzengpass;Schwensby.110/20.Trafo 121;TenneT
E2079301EA01000000000075089800001;SHN201610005431;44317;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;19:55:24;000;EEG;Netzengpass;Schwensby.110/20.Trafo 121;TenneT
E20793010000000000000004266000011;SHN201610005437;2082;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;19:55:31;000;EEG;Netzengpass;Tarp.110/20.Trafo 123;TenneT
E20793010000000000000004266000010;SHN201610005437;2082;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;19:55:31;000;EEG;Netzengpass;Tarp.110/20.Trafo 123;TenneT
E20793010000000000000004266000007;SHN201610005437;2082;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;19:55:31;000;EEG;Netzengpass;Tarp.110/20.Trafo 123;TenneT
E20793010000000000000004266000006;SHN201610005437;2082;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;19:55:31;000;EEG;Netzengpass;Tarp.110/20.Trafo 123;TenneT
E20793010000000000000004266000005;SHN201610005437;2082;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;19:55:31;000;EEG;Netzengpass;Tarp.110/20.Trafo 123;TenneT
E20793010000000000000004266000004;SHN201610005437;2082;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;19:55:31;000;EEG;Netzengpass;Tarp.110/20.Trafo 123;TenneT
E20793010000000000000004266000003;SHN201610005437;2082;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;19:55:31;000;EEG;Netzengpass;Tarp.110/20.Trafo 123;TenneT
E20793010000000000000004266000002;SHN201610005437;2082;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;19:55:31;000;EEG;Netzengpass;Tarp.110/20.Trafo 123;TenneT
E20793010000000000000004266000001;SHN201610005437;2082;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;19:55:31;000;EEG;Netzengpass;Tarp.110/20.Trafo 123;TenneT
E2079301EA01000000000071644800003;SHN201610005437;44134;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;19:55:32;000;EEG;Netzengpass;Tarp.110/20.Trafo 123;TenneT
E2079301EA01000000000071644800002;SHN201610005437;44134;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;19:55:32;000;EEG;Netzengpass;Tarp.110/20.Trafo 123;TenneT
E2079301EA01000000000071644800001;SHN201610005437;44134;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;19:55:32;000;EEG;Netzengpass;Tarp.110/20.Trafo 123;TenneT
E2079301EA01000000000071644800005;SHN201610005437;44134;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;19:55:32;000;EEG;Netzengpass;Tarp.110/20.Trafo 123;TenneT
E2079301EA01000000000071644800004;SHN201610005437;44134;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;19:55:32;000;EEG;Netzengpass;Tarp.110/20.Trafo 123;TenneT
E2079301EA01000000000075366200002;SHN201610005429;49659;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;20:09:50;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 122;TenneT
E2079301EA01000000000075366200001;SHN201610005429;49659;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;20:09:50;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 122;TenneT
E2079301S120000000000022331600007;SHN201610005438;27566;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;20:10:04;000;EEG;Netzengpass;Soholm.110/20.Trafo 121;TenneT
E2079301S120000000000022331600003;SHN201610005438;27566;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;20:10:04;000;EEG;Netzengpass;Soholm.110/20.Trafo 121;TenneT
E2079301S120000000000022331600002;SHN201610005438;27566;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;20:10:04;000;EEG;Netzengpass;Soholm.110/20.Trafo 121;TenneT
E2079301S120000000000022331600001;SHN201610005438;27566;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;20:10:04;000;EEG;Netzengpass;Soholm.110/20.Trafo 121;TenneT
E2079301S120000000000040092600003;SHN201610005438;27253;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;20:10:05;000;EEG;Netzengpass;Soholm.110/20.Trafo 121;TenneT
E2079301S120000000000040092600002;SHN201610005438;27253;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;20:10:05;000;EEG;Netzengpass;Soholm.110/20.Trafo 121;TenneT
E2079301S120000000000040092600001;SHN201610005438;27253;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;20:10:05;000;EEG;Netzengpass;Soholm.110/20.Trafo 121;TenneT
E2079301EA01000000000066056700002;SHN201610005438;36538;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;20:10:05;000;EEG;Netzengpass;Soholm.110/20.Trafo 121;TenneT
E2079301EA01000000000066056700001;SHN201610005438;36538;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;20:10:05;000;EEG;Netzengpass;Soholm.110/20.Trafo 121;TenneT
E2079301S120B00000000027264800003;SHN201610005438;24337;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;20:10:06;000;EEG;Netzengpass;Soholm.110/20.Trafo 121;TenneT
E2079301S120A00000000027264800002;SHN201610005438;24337;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;20:10:06;000;EEG;Netzengpass;Soholm.110/20.Trafo 121;TenneT
E2079301S120000000000027264800001;SHN201610005438;24337;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;20:10:06;000;EEG;Netzengpass;Soholm.110/20.Trafo 121;TenneT
E2079301S120000000000026622700003;SHN201610005438;24900;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;20:10:06;000;EEG;Netzengpass;Soholm.110/20.Trafo 121;TenneT
E2079301S120000000000026622700002;SHN201610005438;24900;;Schleswig-Holstein Netz;01.06.2016;12:10:06;01.06.2016;20:10:06;000;EEG;Netzengpass;Soholm.110/20.Trafo 121;TenneT
