Anlageschl;Einsatz-ID;Projektnummer;DSO Schlüssel 2;Netzbetreiber (ILN-Nummer);Datum Regelung ab;Uhrzeit Regelung ab;Datum Regelung bis;Uhrzeit Regelung bis;Regelstufe Einspeisermanagemen;Entschädigungspflichtig;Ursache;Ort;Anforderer (ILN-Nummer)
E2079301EA08000000000070093700008;SHN201610009621;37438;;Schleswig-Holstein Netz;01.11.2016;02:32:19;01.11.2016;07:20:09;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA03000000000070093700003;SHN201610009621;37438;;Schleswig-Holstein Netz;01.11.2016;02:32:19;01.11.2016;07:20:09;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA02000000000070093700002;SHN201610009621;37438;;Schleswig-Holstein Netz;01.11.2016;02:32:19;01.11.2016;07:20:09;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA01000000000070093700001;SHN201610009621;37438;;Schleswig-Holstein Netz;01.11.2016;02:32:19;01.11.2016;07:20:09;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA09000000000070093700009;SHN201610009621;37438;;Schleswig-Holstein Netz;01.11.2016;02:32:19;01.11.2016;07:20:09;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA05000000000070093700005;SHN201610009621;37438;;Schleswig-Holstein Netz;01.11.2016;02:32:19;01.11.2016;07:20:09;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA04000000000070093700004;SHN201610009621;37438;;Schleswig-Holstein Netz;01.11.2016;02:32:19;01.11.2016;07:20:09;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA07000000000070093700007;SHN201610009621;37438;;Schleswig-Holstein Netz;01.11.2016;02:32:19;01.11.2016;07:20:09;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA06000000000070093700006;SHN201610009621;37438;;Schleswig-Holstein Netz;01.11.2016;02:32:19;01.11.2016;07:20:09;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2325401HRA0000000BDUPE0000100002;SHN201610009630;44510;;Schleswig-Holstein Netz;01.11.2016;02:32:20;01.11.2016;07:20:17;000;EEG;Netzengpass;Barderup.110/20.Trafo 121;TenneT
E2325401HRA0000000BDUPE0000100001;SHN201610009630;44510;;Schleswig-Holstein Netz;01.11.2016;02:32:20;01.11.2016;07:20:17;000;EEG;Netzengpass;Barderup.110/20.Trafo 121;TenneT
E2079301EA020FLENSBURGE0000400001;SHN201610009629;46481;;Schleswig-Holstein Netz;01.11.2016;02:32:20;01.11.2016;07:20:20;000;EEG;Netzengpass;Flensburg.110/xx.Trafo 131;TenneT
E2079301EA010FLENSBURGE0000400001;SHN201610009629;46481;;Schleswig-Holstein Netz;01.11.2016;02:32:20;01.11.2016;07:20:20;000;EEG;Netzengpass;Flensburg.110/xx.Trafo 131;TenneT
E2079301EA01000000000075366200001;SHN201610009622;49659;;Schleswig-Holstein Netz;01.11.2016;02:32:24;01.11.2016;07:20:11;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 122;TenneT
E2079301EA01000000000075366200002;SHN201610009622;49659;;Schleswig-Holstein Netz;01.11.2016;02:32:24;01.11.2016;07:20:11;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 122;TenneT
