Anlageschl;Einsatz-ID;Projektnummer;DSO Schlüssel 2;Netzbetreiber (ILN-Nummer);Datum Regelung ab;Uhrzeit Regelung ab;Datum Regelung bis;Uhrzeit Regelung bis;Regelstufe Einspeisermanagemen;Entschädigungspflichtig;Ursache;Ort;Anforderer (ILN-Nummer)
E2325401HRA0000000BDUPE0000100002;SHN201610008930;44510;;Schleswig-Holstein Netz;03.10.2016;11:38:35;04.10.2016;05:39:02;000;EEG;Netzengpass;Barderup.110/20.Trafo 121;TenneT
E2325401HRA0000000BDUPE0000100001;SHN201610008930;44510;;Schleswig-Holstein Netz;03.10.2016;11:38:35;04.10.2016;05:39:02;000;EEG;Netzengpass;Barderup.110/20.Trafo 121;TenneT
E2079301EA09000000000070093700009;SHN201610008923;37438;;Schleswig-Holstein Netz;03.10.2016;11:38:36;04.10.2016;05:38:58;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA08000000000070093700008;SHN201610008923;37438;;Schleswig-Holstein Netz;03.10.2016;11:38:36;04.10.2016;05:38:58;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA07000000000070093700007;SHN201610008923;37438;;Schleswig-Holstein Netz;03.10.2016;11:38:36;04.10.2016;05:38:58;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA06000000000070093700006;SHN201610008923;37438;;Schleswig-Holstein Netz;03.10.2016;11:38:36;04.10.2016;05:38:58;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA05000000000070093700005;SHN201610008923;37438;;Schleswig-Holstein Netz;03.10.2016;11:38:36;04.10.2016;05:38:58;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA04000000000070093700004;SHN201610008923;37438;;Schleswig-Holstein Netz;03.10.2016;11:38:36;04.10.2016;05:38:58;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA03000000000070093700003;SHN201610008923;37438;;Schleswig-Holstein Netz;03.10.2016;11:38:36;04.10.2016;05:38:58;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA02000000000070093700002;SHN201610008923;37438;;Schleswig-Holstein Netz;03.10.2016;11:38:36;04.10.2016;05:38:58;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA01000000000070093700001;SHN201610008923;37438;;Schleswig-Holstein Netz;03.10.2016;11:38:36;04.10.2016;05:38:58;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA020FLENSBURGE0000400001;SHN201610008932;46481;;Schleswig-Holstein Netz;03.10.2016;11:38:38;04.10.2016;05:39:05;000;EEG;Netzengpass;Flensburg.110/xx.Trafo 131;TenneT
E2079301EA010FLENSBURGE0000400001;SHN201610008932;46481;;Schleswig-Holstein Netz;03.10.2016;11:38:38;04.10.2016;05:39:05;000;EEG;Netzengpass;Flensburg.110/xx.Trafo 131;TenneT
E2079301EA01000000000075089800006;SHN201610008926;44317;;Schleswig-Holstein Netz;03.10.2016;11:38:41;03.10.2016;18:31:34;000;EEG;Netzengpass;Schwensby.110/20.Trafo 121;TenneT
E2079301EA01000000000075089800004;SHN201610008926;44317;;Schleswig-Holstein Netz;03.10.2016;11:38:41;03.10.2016;18:31:34;000;EEG;Netzengpass;Schwensby.110/20.Trafo 121;TenneT
E2079301EA01000000000075089800003;SHN201610008926;44317;;Schleswig-Holstein Netz;03.10.2016;11:38:41;03.10.2016;18:31:34;000;EEG;Netzengpass;Schwensby.110/20.Trafo 121;TenneT
E2079301EA01000000000075089800002;SHN201610008926;44317;;Schleswig-Holstein Netz;03.10.2016;11:38:41;03.10.2016;18:31:34;000;EEG;Netzengpass;Schwensby.110/20.Trafo 121;TenneT
E2079301EA01000000000075089800001;SHN201610008926;44317;;Schleswig-Holstein Netz;03.10.2016;11:38:41;03.10.2016;18:31:34;000;EEG;Netzengpass;Schwensby.110/20.Trafo 121;TenneT
E2079301EA03000000000071094100003;SHN201610008923;44219;;Schleswig-Holstein Netz;03.10.2016;11:38:41;04.10.2016;05:38:59;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA02000000000071094100002;SHN201610008923;44219;;Schleswig-Holstein Netz;03.10.2016;11:38:41;04.10.2016;05:38:59;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA01000000000071094100001;SHN201610008923;44219;;Schleswig-Holstein Netz;03.10.2016;11:38:41;04.10.2016;05:38:59;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA01000000000046994300003;SHN201610008923;35959;;Schleswig-Holstein Netz;03.10.2016;11:38:44;04.10.2016;05:38:58;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA01000000000046994300002;SHN201610008923;35959;;Schleswig-Holstein Netz;03.10.2016;11:38:44;04.10.2016;05:38:58;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA01000000000046994300001;SHN201610008923;35959;;Schleswig-Holstein Netz;03.10.2016;11:38:44;04.10.2016;05:38:58;000;EEG;Netzengpass;Lindewitt Nord.110/20.Trafo 121;TenneT
E2079301EA01000000000075367100001;SHN201610008924;49661;;Schleswig-Holstein Netz;03.10.2016;11:38:48;04.10.2016;05:39:01;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 122;TenneT
E20793010000000000000004266000011;SHN201610008935;2082;;Schleswig-Holstein Netz;03.10.2016;11:38:50;03.10.2016;12:02:35;030;EEG;Netzengpass;Tarp.110/20.Trafo 123;TenneT
E20793010000000000000004266000010;SHN201610008935;2082;;Schleswig-Holstein Netz;03.10.2016;11:38:50;03.10.2016;12:02:35;030;EEG;Netzengpass;Tarp.110/20.Trafo 123;TenneT
E20793010000000000000004266000007;SHN201610008935;2082;;Schleswig-Holstein Netz;03.10.2016;11:38:50;03.10.2016;12:02:35;030;EEG;Netzengpass;Tarp.110/20.Trafo 123;TenneT
E20793010000000000000004266000006;SHN201610008935;2082;;Schleswig-Holstein Netz;03.10.2016;11:38:50;03.10.2016;12:02:35;030;EEG;Netzengpass;Tarp.110/20.Trafo 123;TenneT
E20793010000000000000004266000005;SHN201610008935;2082;;Schleswig-Holstein Netz;03.10.2016;11:38:50;03.10.2016;12:02:35;030;EEG;Netzengpass;Tarp.110/20.Trafo 123;TenneT
E20793010000000000000004266000004;SHN201610008935;2082;;Schleswig-Holstein Netz;03.10.2016;11:38:50;03.10.2016;12:02:35;030;EEG;Netzengpass;Tarp.110/20.Trafo 123;TenneT
E20793010000000000000004266000003;SHN201610008935;2082;;Schleswig-Holstein Netz;03.10.2016;11:38:50;03.10.2016;12:02:35;030;EEG;Netzengpass;Tarp.110/20.Trafo 123;TenneT
E20793010000000000000004266000002;SHN201610008935;2082;;Schleswig-Holstein Netz;03.10.2016;11:38:50;03.10.2016;12:02:35;030;EEG;Netzengpass;Tarp.110/20.Trafo 123;TenneT
