Anlageschl;Einsatz-ID;Projektnummer;DSO Schlüssel 2;Netzbetreiber (ILN-Nummer);Datum Regelung ab;Uhrzeit Regelung ab;Datum Regelung bis;Uhrzeit Regelung bis;Regelstufe Einspeisermanagemen;Entschädigungspflichtig;Ursache;Ort;Anforderer (ILN-Nummer)
E2079301EA02000000000071801800002;SHN201640000403;43669;;Schleswig-Holstein Netz;01.09.2016;07:01:01;01.09.2016;07:12:05;000;EEG;Netzengpass;Marne West.110/20.Trafo 127.ges;Schleswig-Holstein Netz
E2079301EA01000000000071801800003;SHN201640000403;43669;;Schleswig-Holstein Netz;01.09.2016;07:01:01;01.09.2016;07:12:05;000;EEG;Netzengpass;Marne West.110/20.Trafo 127.ges;Schleswig-Holstein Netz
E2079301EA01000000000071801800001;SHN201640000403;43669;;Schleswig-Holstein Netz;01.09.2016;07:01:01;01.09.2016;07:12:05;000;EEG;Netzengpass;Marne West.110/20.Trafo 127.ges;Schleswig-Holstein Netz
E20793019000000000000021243030001;SHN201640000403;18101;;Schleswig-Holstein Netz;01.09.2016;07:04:17;01.09.2016;07:14:40;000;EEG;Netzengpass;Marne West.110/20.Trafo 127.ges;Schleswig-Holstein Netz
E20793019X00000000000021292270001;SHN201640000403;23683;;Schleswig-Holstein Netz;01.09.2016;07:04:17;01.09.2016;07:14:40;000;EEG;Netzengpass;Marne West.110/20.Trafo 127.ges;Schleswig-Holstein Netz
E20793019000000000000021292270001;SHN201640000403;23683;;Schleswig-Holstein Netz;01.09.2016;07:04:17;01.09.2016;07:14:40;000;EEG;Netzengpass;Marne West.110/20.Trafo 127.ges;Schleswig-Holstein Netz
E20793018000000000000002800000003;SHN201640000403;2774;;Schleswig-Holstein Netz;01.09.2016;07:04:17;01.09.2016;07:14:40;000;EEG;Netzengpass;Marne West.110/20.Trafo 127.ges;Schleswig-Holstein Netz
E20793018000000000000002800000002;SHN201640000403;2774;;Schleswig-Holstein Netz;01.09.2016;07:04:17;01.09.2016;07:14:40;000;EEG;Netzengpass;Marne West.110/20.Trafo 127.ges;Schleswig-Holstein Netz
E20793018000000000000002800000001;SHN201640000403;2774;;Schleswig-Holstein Netz;01.09.2016;07:04:17;01.09.2016;07:14:40;000;EEG;Netzengpass;Marne West.110/20.Trafo 127.ges;Schleswig-Holstein Netz
E20793019000000000000004412000001;SHN201640000403;3657;;Schleswig-Holstein Netz;01.09.2016;07:04:17;01.09.2016;07:14:40;000;EEG;Netzengpass;Marne West.110/20.Trafo 127.ges;Schleswig-Holstein Netz
E20793018S12000000000001865670001;SHN201640000403;4684;;Schleswig-Holstein Netz;01.09.2016;07:04:17;01.09.2016;07:14:40;000;EEG;Netzengpass;Marne West.110/20.Trafo 127.ges;Schleswig-Holstein Netz
