Anlageschl;Einsatz-ID;Projektnummer;DSO Schlüssel 2;Netzbetreiber (ILN-Nummer);Datum Regelung ab;Uhrzeit Regelung ab;Datum Regelung bis;Uhrzeit Regelung bis;Regelstufe Einspeisermanagemen;Entschädigungspflichtig;Ursache;Ort;Anforderer (ILN-Nummer)
E20793019000000000000021281490001;SHN201400000499;22492;;Schleswig-Holstein Netz;08.09.2014;11:44:00;08.09.2014;13:17:00;000;EEG;110-kV-Itzehoe/W-Heide-Gelb,Hademarschen;HEIDE T122;Schleswig-Holstein Netz
E2079301S120000000000045205400001;SHN201410000499;44415;;Schleswig-Holstein Netz;08.09.2014;11:44:00;08.09.2014;13:38:00;000;EEG;110-kV-Itzehoe/W-Heide-Gelb,Hademarschen;HADEMARSCHEN T122;Schleswig-Holstein Netz
E20793017000000000000020933680001;SHN201401000499;15777;;Schleswig-Holstein Netz;08.09.2014;11:44:00;08.09.2014;13:38:00;000;EEG;110-kV-Itzehoe/W-Heide-Gelb,Hademarschen;HADEMARSCHEN T122;Schleswig-Holstein Netz
E20793017000000000000020933680002;SHN201401000499;15777;;Schleswig-Holstein Netz;08.09.2014;11:44:00;08.09.2014;13:38:00;000;EEG;110-kV-Itzehoe/W-Heide-Gelb,Hademarschen;HADEMARSCHEN T122;Schleswig-Holstein Netz
E20793015S12000000000002341110001;SHN201500003436;24868;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E20793016000000000000020766180001;SHN201500003436;13152;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E20793010000000000000021050070001;SHN201500003436;14820;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E20793014000000000000020850910001;SHN201500003436;15315;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E20793014000000000000021335020001;SHN201500003436;21609;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E2079301EA01000000000058175500001;SHN201500003436;43380;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E20793014000000000000021304230001;SHN201500003436;19689;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E20793015000000000000021284780001;SHN201500003436;25121;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E20793017000000000000021131990001;SHN201500003436;17244;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E20793017000000000000021532250001;SHN201500003436;24373;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E20793012000000000000021279130001;SHN201500003436;18107;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E2079301S120000000000023527700001;SHN201500003436;34481;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E20793010000000000000021267940001;SHN201500003436;18118;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E20793017000000000000020679450001;SHN201500003436;15255;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E2079304S120000000000027101800001;SHN201500003436;35382;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E20793016000000000000017518060003;SHN201500003436;3742;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E20793016000000000000001101540001;SHN201500003436;5658;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E20793014000000000000003193000001;SHN201500003436;3023;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E20793017000000000000003221000001;SHN201500003436;3459;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E20793019000000000000021334980001;SHN201500003436;19499;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E2079301S120000000000037207600001;SHN201500003436;37322;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E2079301SZP0000000000048014900001;SHN201500003436;39805;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E2079301SZP0000000000042613800001;SHN201500003436;41115;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E2079301SZP0000000000044065700002;SHN201500003436;38553;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E20793016000000000000017518060002;SHN201500003436;3742;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E2079301SZP0000000000040284600001;SHN201500003436;38552;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E2079301S120000000000026820100001;SHN201500003436;33878;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E2079301S120000000000034116700001;SHN201500003436;31945;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E2079301S120000000000039370100001;SHN201500003436;34898;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E2079301S120000000000031735500001;SHN201500003436;34554;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E2079301S120000000000027241600001;SHN201500003436;20067;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E2079301SZP0000000000039664200001;SHN201500003436;37329;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E20793016000000000000003345000002;SHN201500003436;2803;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E2079301S120000000000034928700001;SHN201500003436;36908;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E2079301S120000000000027241600002;SHN201500003436;20067;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E20793016000000000000021447400001;SHN201500003436;22821;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E20793017000000000000021349500001;SHN201500003436;25119;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E2079301S120000000000023403600001;SHN201500003436;23010;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E2079301S120000000000031125200001;SHN201500003436;30065;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E20793014000000000000021000790001;SHN201500003436;15252;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E20793010000000000000020722160001;SHN201500003436;12692;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E2079301EA01000000000039998400001;SHN201500003436;40491;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E2079301SZP0000000000056055300001;SHN201500003436;44178;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E20793015000000000000021330590001;SHN201500003436;18712;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
E2079301SZP0000000000044065700001;SHN201500003436;38553;;Schleswig-Holstein Netz;08.09.2014;11:44:39;08.09.2014;13:17:05;000;EEG;Netzengpass;Heide.110/20.Trafo;Schleswig-Holstein Netz
